Part	Country	Site	Cultural phase/ Dates	Dates	Notes on Dating	Confidence	Lower Range BC	Lower Range CE	Lower Range BP	Upper Range BC	Upper Range CE	Upper Range BP	Records	Latitude	Longtitude
Europe	Italy	Populonia	Late Iron Age	325- 200 BCE		Maybe	325		2275	200		2150	7 specimens	42.989444	10.491389
Europe	Italy	Este/Baratella	Late Iron Age	~350-200 BCE		Maybe	350		2300	200		2150	2038 specimens	45.233333	11.666667
Europe	Italy	Santorso	Late Iron Age	~350-250 BCE 		Maybe	350		2300	250		2200	3 specimens	45.73658	11.38287
Europe	Italy	Marzabotto	Iron Age	~450-350 BCE		Maybe	450		2400	350		2300	+	44.34226	11.20529
Europe	Italy	Selinunte, Sicily	N/A	466-415 BCE		Maybe	466		2416	415		2365	coins showing cocks	37.583611	12.824722
Europe	Italy	Himera, Sicily	N/A	prior to 481 BCE		No	481		2431	481		2431	coins showing cocks and hens	37.973997	13.823986
Europe	Italy	Forcello di Bagnolo San Vito	Iron Age/Etruscan	776-537 cal BCE.	Directly RCD	Yes	776		2726	537		2487	specimens	45.083333	10.883333
Europe	Italy	Forcello di Bagnolo San Vito	Iron Age/Etruscan	776-537 cal BCE	Directly RCD	Yes	776		2726	537		2487	specimens	45.11	10.835
Europe	Italy	Orvieto	N/A	776-540 cal BCE	Directly RCD	Yes	776		2726	540		2490	specimens	42.718333	12.110278
Europe	Italy	Metaponto, Basilicata, Chora of Metaponto	Iron Age	~800-500 BCE		No	800		2750	500		2450	1 specimens	40.383333	16.824444
Europe	Latvia	Padure (Beltes) Hillfort	Late Iron Age	~800-1,200 CE		No		800	1150		1200	750	specimens	56.999167	21.8875
Europe	Netherlands	Passewaaijse Hogeweg	Late Iron Age to Early Roman 	60 BCE-50 CE		Maybe	60		2010		50	1900	6 specimens	51.870556	5.398889
Europe	Netherlands	Nijmegen, St. Jozefschool	Early Roman Period 	~10-25 CE		Maybe		10	1940		25	1925	4 specimens	51.81256	5.83723
Europe	Netherlands	Velsen I	Early Roman Period 	15/16-29 CE		Maybe		15	1935		29	1921	2588 specimens	52.45206	4.63059
Europe	Netherlands	Druten	Early to middle Roman Period	c. 70 CE – early 2nd century CE		Maybe		70	1880		125	1825	2 specimens	51.89408	5.59427
Europe	Netherlands	Nijmegen Hunerberg	Early to middle Roman Period	c. 70 CE – early 2nd century CE		Maybe		70	1880		125	1825	93 specimens	51.84222	5.87914
Europe	Norway	Oslo, Gamlebyen, Mindets Tomt II+III	Middle Ages	1,125–1,350 CE		No		1125	825		1350	600	463 specimens	59.91387	10.75225
Europe	Norway	Kaupang	Middle Ages	~800-1,000 CE		Maybe		800	1150		1000	950	9 specimens	59.030833	10.1075
Europe	Poland	Konary (site no. 28)	Przeworsk Culture	200 BCE - 500 CE 		No	200		2150		500	1450	3 specimens	49.93537	19.92636
Europe	Poland	Łyszkowice (site no. 1)	Przeworsk Culture	200 BCE - 500 CE 		No	200		2150		500	1450	?	51.98576	19.90647
Europe	Poland	Nowa Cerekwia 	Early to late La Tène	300 BCE - 1 BCE		No	300 		2250	1		1951	13 specimens	50.09088	17.93112
Europe	Portugal	Castro Marim	Iron Age	~450-200BCE		No	450		2400	200		2150	bones	37.216667	-7.45
Europe	Portugal	Alcáçova de Santarém	Iron Age	~800-300 BCE		No	800		2750	300		2250	several bones	39.23432	-8.67663
Europe	Romania	Divici-Grad	Late La Tène – Daces	100 BCE - 100 CE		Maybe	100 		2050		100	1850	?	44.78268	21.4823
Europe	Romania	Mereşti	Late La Tène – Daces	100 BCE - 100 CE		Maybe	100 		2050		100	1850	?	46.23439	25.457
Europe	Romania	Pecica (site Şanţul Mare, Pecica)	La Tène and Roman Period	200 BCE - 100 CE		No	200		2150		100	1850	?	46.16894	21.06784
Europe	Russia	Phanagoria	Antiquity	~300-100 BCE		Maybe	300		2250	100		2050	8 specimens	45.276944	36.966111
Europe	Russia	Imenkovskoe hillfort	Imenkov culture	~400-700 CE		No		400	1550		700	1250	specimens	55.432959	49.539797
Europe	Russia	Scherbetskoe settlement	Imenkov culture	~400-700 CE		No		400	1550		700	1250	specimens	55.432959	49.539797
Europe	Russia	Maklashevskoe II hillfort	Imenkov culture	~400-700 CE		No		400	1550		700	1250	specimens	54.712543	49.104336
Europe	Russia	Kyiz-Tau’ Cherkio-Bibkeevskoe hillfort	Imenkov culture	~400-700 CE		No		400	1550		700	1250	specimens	54.697845	48.069788
Europe	Russia	Tetyushskoe II hillfort	Imenkov culture	~400-700 CE		No		400	1550		700	1250	specimens	53.280618	48.73357
Europe	Serbia	Gomolova	Late Iron Age	~100 BCE-100 CE		Maybe	100		2050		100	1850	32 specimens (for total site)	44.874318	19.827453
Europe	Serbia	Gradina	Late Iron Age	~400 BCE-100 CE		No	400		2350		100	1850	specimens	45.051799	19.180699
Europe	Serbia	Čarnok	Late Iron Age	~400 BCE-100 CE		No	400		2350		100	1850	specimens	45.513444	19.623039
